Level,Dimension,log10_alpha,log10_mass_GeV,log10_wavelength_meters,log10_N_weyl
106,10284720757613717413913,-2.1493795217636647e+21,-2.1493795217636647e+21,2.1493795217636647e+21,86.96958877227124
107,16641027750620563662096,-3.4777691209366037e+21,-3.4777691209366037e+21,3.4777691209366037e+21,87.80553933327116
108,26925748508234281076009,-5.627148642700267e+21,-5.627148642700267e+21,5.627148642700267e+21,88.64148989427106
109,43566776258854844738105,-9.104917763636872e+21,-9.104917763636872e+21,9.104917763636872e+21,89.47744045527098
110,70492524767089125814114,-1.473206640633714e+22,-1.473206640633714e+22,1.473206640633714e+22,90.3133910162709
111,114059301025943970552219,-2.383698416997401e+22,-2.383698416997401e+22,2.383698416997401e+22,91.1493415772708
112,184551825793033096366333,-3.856905057631115e+22,-3.856905057631115e+22,3.856905057631115e+22,91.98529213827072
113,298611126818977066918552,-6.240603474628516e+22,-6.240603474628516e+22,6.240603474628516e+22,92.82124269927064
114,483162952612010163284885,-1.0097508532259631e+23,-1.0097508532259631e+23,1.0097508532259631e+23,93.65719326027056
115,781774079430987230203437,-1.6338112006888146e+23,-1.6338112006888146e+23,1.6338112006888146e+23,94.49314382127046
116,1264937032042997393488322,-2.6435620539147783e+23,-2.6435620539147783e+23,2.6435620539147783e+23,95.32909438227038
117,2046711111473984623691759,-4.277373254603593e+23,-4.277373254603593e+23,4.277373254603593e+23,96.1650449432703
118,3311648143516982017180081,-6.92093530851837e+23,-6.92093530851837e+23,6.92093530851837e+23,97.00099550427022
119,5358359254990966640871840,-1.1198308563121963e+24,-1.1198308563121963e+24,1.1198308563121963e+24,97.83694606527013
120,8670007398507948658051921,-1.8119243871640335e+24,-1.8119243871640335e+24,1.8119243871640335e+24,98.67289662627005
121,14028366653498915298923761,-2.93175524347623e+24,-2.93175524347623e+24,2.93175524347623e+24,99.50884718726996
122,22698374052006863956975682,-4.743679630640263e+24,-4.743679630640263e+24,4.743679630640263e+24,100.34479774826987
123,36726740705505779255899443,-7.675434874116494e+24,-7.675434874116494e+24,7.675434874116494e+24,101.18074830926979
124,59425114757512643212875125,-1.2419114504756757e+25,-1.2419114504756757e+25,1.2419114504756757e+25,102.0166988702697
125,96151855463018422468774568,-2.009454937887325e+25,-2.009454937887325e+25,2.009454937887325e+25,102.85264943126963
126,155576970220531065681649693,-3.2513663883630003e+25,-3.2513663883630003e+25,3.2513663883630003e+25,103.68859999226953
127,251728825683549488150424261,-5.260821326250326e+25,-5.260821326250326e+25,5.260821326250326e+25,104.52455055326945
128,407305795904080553832073954,-8.512187714613327e+25,-8.512187714613327e+25,8.512187714613327e+25,105.36050111426937
129,659034621587630041982498215,-1.3773009040863653e+26,-1.3773009040863653e+26,1.3773009040863653e+26,106.19645167526927
130,1066340417491710595814572169,-2.228519675547698e+26,-2.228519675547698e+26,2.228519675547698e+26,107.03240223626919
131,1725375039079340637797070384,-3.605820579634063e+26,-3.605820579634063e+26,3.605820579634063e+26,107.86835279726911
132,2791715456571051233611642553,-5.834340255181761e+26,-5.834340255181761e+26,5.834340255181761e+26,108.70430335826903
133,4517090495650391871408712937,-9.440160834815824e+26,-9.440160834815824e+26,9.440160834815824e+26,109.54025391926893
134,7308805952221443105020355490,-1.5274501089997584e+27,-1.5274501089997584e+27,1.5274501089997584e+27,110.37620448026885
135,11825896447871834976429068427,-2.4714661924813408e+27,-2.4714661924813408e+27,2.4714661924813408e+27,111.21215504126877
136,19134702400093278081449423917,-3.998916301481099e+27,-3.998916301481099e+27,3.998916301481099e+27,112.04810560226868
137,30960598847965113057878492344,-6.47038249396244e+27,-6.47038249396244e+27,6.47038249396244e+27,112.8840561632686
138,50095301248058391139327916261,-1.0469298795443539e+28,-1.0469298795443539e+28,1.0469298795443539e+28,113.72000672426852
139,81055900096023504197206408605,-1.693968128940598e+28,-1.693968128940598e+28,1.693968128940598e+28,114.55595728526843
140,131151201344081895336534324866,-2.7408980084849516e+28,-2.7408980084849516e+28,2.7408980084849516e+28,115.39190784626834
141,212207101440105399533740733471,-4.434866137425549e+28,-4.434866137425549e+28,4.434866137425549e+28,116.22785840726826
142,343358302784187294870275058337,-7.175764145910501e+28,-7.175764145910501e+28,7.175764145910501e+28,117.06380896826818
143,555565404224292694404015791808,-1.1610630283336051e+29,-1.1610630283336051e+29,1.1610630283336051e+29,117.89975952926808
144,898923707008479989274290850145,-1.878639442924655e+29,-1.878639442924655e+29,1.878639442924655e+29,118.735710090268
145,1454489111232772683678306641953,-3.0397024712582605e+29,-3.0397024712582605e+29,3.0397024712582605e+29,119.57166065126792
146,2353412818241252672952597492098,-4.918341914182915e+29,-4.918341914182915e+29,4.918341914182915e+29,120.40761121226784
147,3807901929474025356630904134051,-7.958044385441175e+29,-7.958044385441175e+29,7.958044385441175e+29,121.24356177326774
148,6161314747715278029583501626149,-1.287638629962409e+30,-1.287638629962409e+30,1.287638629962409e+30,122.07951233426766
149,9969216677189303386214405760200,-2.0834430685065268e+30,-2.0834430685065268e+30,2.0834430685065268e+30,122.91546289526758
150,16130531424904581415797907386349,-3.371081698468936e+30,-3.371081698468936e+30,3.371081698468936e+30,123.7514134562675
151,26099748102093884802012313146549,-5.454524766975462e+30,-5.454524766975462e+30,5.454524766975462e+30,124.5873640172674
152,42230279526998466217810220532898,-8.825606465444399e+30,-8.825606465444399e+30,8.825606465444399e+30,125.42331457826732
153,68330027629092351019822533679447,-1.4280131232419861e+31,-1.4280131232419861e+31,1.4280131232419861e+31,126.25926513926724
154,110560307156090817237632754212345,-2.310573769786426e+31,-2.310573769786426e+31,2.310573769786426e+31,127.09521570026715
155,178890334785183168257455287891792,-3.7385868930284123e+31,-3.7385868930284123e+31,3.7385868930284123e+31,127.93116626126707
156,289450641941273985495088042104137,-6.049160662814838e+31,-6.049160662814838e+31,6.049160662814838e+31,128.76711682226698
157,468340976726457153752543329995929,-9.78774755584325e+31,-9.78774755584325e+31,9.78774755584325e+31,129.6030673832669
158,757791618667731139247631372100066,-1.583690821865809e+32,-1.583690821865809e+32,1.583690821865809e+32,130.43901794426682
159,1226132595394188293000174702095995,-2.562465577450134e+32,-2.562465577450134e+32,2.562465577450134e+32,131.2749685052667
160,1983924214061919432247806074196061,-4.146156399315943e+32,-4.146156399315943e+32,4.146156399315943e+32,132.11091906626663
161,3210056809456107725247980776292056,-6.708621976766077e+32,-6.708621976766077e+32,6.708621976766077e+32,132.94686962726655
162,5193981023518027157495786850488117,-1.085477837608202e+33,-1.085477837608202e+33,1.085477837608202e+33,133.78282018826647
163,8404037832974134882743767626780173,-1.7563400352848096e+33,-1.7563400352848096e+33,1.7563400352848096e+33,134.6187707492664
164,13598018856492162040239554477268290,-2.8418178728930115e+33,-2.8418178728930115e+33,2.8418178728930115e+33,135.4547213102663
165,22002056689466296922983322104048463,-4.598157908177821e+33,-4.598157908177821e+33,4.598157908177821e+33,136.29067187126623
166,35600075545958458963222876581316753,-7.439975781070832e+33,-7.439975781070832e+33,7.439975781070832e+33,137.12662243226615
167,57602132235424755886206198685365216,-1.2038133689248655e+34,-1.2038133689248655e+34,1.2038133689248655e+34,137.96257299326604
168,93202207781383214849429075266681969,-1.9478109470319484e+34,-1.9478109470319484e+34,1.9478109470319484e+34,138.79852355426596
169,150804340016807970735635273952047185,-3.151624315956814e+34,-3.151624315956814e+34,3.151624315956814e+34,139.63447411526587
170,244006547798191185585064349218729154,-5.099435262988763e+34,-5.099435262988763e+34,5.099435262988763e+34,140.4704246762658
